x,y,z,Ex,Ey,Ez
-0.00025,0.00015625000000000003,-3.125e-05,-6.701832705151907,2.2647118387131324,8.607745257465357
-0.00025,0.00015625000000000003,0.0,-6.700904740283982,2.2641172775339817,8.443095013234341
-0.00025,0.00015625000000000003,3.125000000000003e-05,-6.6998934396047085,2.2634997977461335,8.279264778320085
-0.00025,0.00015625000000000003,6.25e-05,-6.698798706134655,2.262859338069886,8.11624221807821
-0.00025,0.00015625000000000003,9.374999999999997e-05,-6.697620449130957,2.26219583978835,7.954015021741991
-0.00025,0.00015625000000000003,0.000125,-6.696358584083872,2.2615092467453692,7.7925709027885715
-0.00025,0.00015625000000000003,0.00015625000000000003,-6.695013032712863,2.2607995053434706,7.631897599300942
-0.00025,0.00015625000000000003,0.0001875,-6.693583722962372,2.260066564541389,7.471982874325958
-0.00025,0.00015625000000000003,0.00021874999999999998,-6.6920705889970105,2.2593103758517183,7.312814516228277
-0.00025,0.00015625000000000003,0.00025,-6.690473571196599,2.2585308933382264,7.154380339040397
-0.00025,0.0001875,-0.00025,-6.70515085693701,2.006838111071504,9.783784756806755
-0.00025,0.0001875,-0.00021875,-6.704803001689652,2.0062284953405114,9.613028291067673
-0.00025,0.0001875,-0.0001875,-6.704372675292078,2.0056034905364903,9.443178727318891
-0.00025,0.0001875,-0.00015625,-6.7038597370585045,2.004963004978408,9.27422357695275
-0.00025,0.0001875,-0.000125,-6.703264052551995,2.0043069495454255,9.106150372553873
-0.00025,0.0001875,-9.375e-05,-6.7025854935838165,2.0036352376755673,8.938946668295934
-0.00025,0.0001875,-6.25e-05,-6.701823938212408,2.0029477853641957,8.772600040333751
-0.00025,0.0001875,-3.125e-05,-6.700979270741933,2.0022445111623655,8.60709808719102
-0.00025,0.0001875,0.0,-6.700051381720428,2.0015253361750203,8.442428430143465
-0.00025,0.0001875,3.125000000000003e-05,-6.699040167937548,2.000790184059076,8.27857871359764
-0.00025,0.0001875,6.25e-05,-6.697945532421895,2.00003898102131,8.115536605465417
-0.00025,0.0001875,9.374999999999997e-05,-6.696767384437949,1.9992716558161672,7.953289797534236
-0.00025,0.0001875,0.000125,-6.695505639482593,1.998488139743374,7.7918260058331
-0.00025,0.0001875,0.00015625000000000003,-6.694160219281218,1.9976883666454432,7.631132970994466
